id,title_romaji,title_english,episodes,duration,genres
1,Cowboy Bebop,Cowboy Bebop,26,24,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,1,115,"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
6,TRIGUN,Trigun,26,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']"
7,Witch Hunter ROBIN,Witch Hunter ROBIN,26,25,"['Action', 'Drama', 'Mystery', 'Supernatural']"
8,Bouken Ou Beet,Beet the Vandel Buster,52,23,"['Adventure', 'Fantasy', 'Supernatural']"
15,Eyeshield 21,Eyeshield 21,145,23,"['Action', 'Comedy', 'Sports']"
16,Hachimitsu to Clover,Honey and Clover,24,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
17,Hungry Heart: Wild Striker,,52,23,"['Comedy', 'Slice of Life', 'Sports']"
18,Initial D FOURTH STAGE,Initial D 4th Stage,24,27,"['Action', 'Drama', 'Sports']"
19,MONSTER,Monster,74,24,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller']"
20,NARUTO,Naruto,220,23,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']"
21,ONE PIECE,ONE PIECE,,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
22,Tennis no Ouji-sama,The Prince of Tennis,178,22,"['Action', 'Comedy', 'Sports']"
23,Ring ni Kakero 1,,12,25,"['Action', 'Sports']"
24,School Rumble,School Rumble,26,23,"['Comedy', 'Romance', 'Slice of Life']"
25,Sunabouzu,Desert Punk,24,24,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi']"
26,TEXHNOLYZE,Texhnolyze,22,23,"['Action', 'Drama', 'Psychological', 'Sci-Fi']"
27,Trinity Blood,Trinity Blood,24,24,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural']"
28,Yakitate!! Japan,,69,24,['Comedy']
29,Zipang,,26,24,"['Action', 'Sci-Fi']"
30,Shin Seiki Evangelion,Neon Genesis Evangelion,26,24,"['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi']"
31,Shin Seiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,1,104,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']"
32,"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,1,87,"['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']"
33,Kenpuu Denki Berserk,Berserk,25,25,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural']"
43,GHOST IN THE SHELL: Koukaku Kidoutai,Ghost in the Shell,1,83,"['Action', 'Psychological', 'Sci-Fi']"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,4,30,"['Action', 'Drama', 'Romance']"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,94,25,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem,Samurai X: The Motion Picture,1,91,"['Action', 'Drama']"
47,AKIRA,Akira,1,125,"['Action', 'Adventure', 'Horror', 'Psychological', 'Sci-Fi', 'Supernatural']"
48,.hack//SIGN,.hack//Sign,26,24,"['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']"
49,Aa! Megami-sama!,Oh! My Goddess,5,30,"['Comedy', 'Drama', 'Romance', 'Supernatural']"
50,Aa! Megami-sama! (TV),Oh! My Goddess (TV),24,24,"['Comedy', 'Romance', 'Supernatural']"
51,Tenshi Kinryouku,Angel Sanctuary,3,30,"['Action', 'Drama', 'Ecchi', 'Romance', 'Supernatural']"
52,Kidou Tenshi Angelic Layer,Angelic Layer,26,24,"['Comedy', 'Drama', 'Sci-Fi', 'Sports']"
53,Ai Yori Aoshi,Ai Yori Aoshi,24,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
54,Appleseed (Movie),,1,105,"['Action', 'Drama', 'Mecha', 'Sci-Fi']"
55,Arc the Lad,,26,22,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']"
56,Avenger,,13,24,"['Adventure', 'Fantasy', 'Sci-Fi']"
57,BECK,Beck: Mongolian Chop Squad,26,25,"['Comedy', 'Drama', 'Music', 'Slice of Life']"
58,BLUE GENDER,Blue Gender,26,23,"['Adventure', 'Drama', 'Horror', 'Mecha', 'Psychological', 'Romance', 'Sci-Fi']"
59,Chobits,Chobits,26,24,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Sci-Fi']"
60,Chrno Crusade,Chrono Crusade,24,23,"['Action', 'Romance', 'Supernatural']"
61,D.N.Angel,D.N.Angel,26,23,"['Action', 'Comedy', 'Fantasy', 'Romance']"
62,D.C.: Da Capo,D.C.~Da Capo~,26,24,"['Drama', 'Romance']"
63,DearS,,12,23,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']"
64,Rozen Maiden,Rozen Maiden,12,24,"['Action', 'Comedy', 'Drama', 'Supernatural']"
65,Rozen Maiden: Träumend,Rozen Maiden: Dreaming,12,24,"['Action', 'Comedy', 'Drama']"
66,Azumanga Daiou THE ANIMATION,Azumanga Daioh,26,24,"['Comedy', 'Slice of Life']"
67,Basilisk: Kouga Ninpouchou,Basilisk,24,25,"['Action', 'Adventure', 'Drama', 'Romance']"
68,Black Cat,Black Cat,23,24,"['Adventure', 'Comedy', 'Sci-Fi']"
69,CLUSTER EDGE,,25,24,"['Action', 'Fantasy', 'Sci-Fi']"
71,Full Metal Panic!,Full Metal Panic!,24,24,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']"
72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,12,24,"['Action', 'Comedy', 'Romance']"
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,13,24,"['Action', 'Mecha', 'Sci-Fi']"
74,Gakuen Alice,,26,25,"['Comedy', 'Drama', 'Fantasy', 'Supernatural']"
75,Soukyuu no Fafner,Fafner,25,24,"['Drama', 'Mecha', 'Sci-Fi']"
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,13,25,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo']"
77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,13,25,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo']"
79,SHUFFLE!,,24,23,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Romance']"
80,Kidou Senshi Gundam,Mobile Suit Gundam,43,25,"['Drama', 'Mecha', 'Sci-Fi']"
81,Kidou Senshi Gundam: Dai 08 MS Shotai,Mobile Suit Gundam: The 08th MS Team,12,24,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']"
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,6,27,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']"
83,Kidou Senshi Gundam: Dai 08 MS Shotai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,1,52,"['Drama', 'Mecha', 'Sci-Fi']"
84,Kidou Senshi Gundam 0083: STARDUST MEMORY,Mobile Suit Gundam 0083: Stardust Memory,13,30,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']"
85,Kidou Senshi Zeta Gundam,Mobile Suit Zeta Gundam,50,24,"['Drama', 'Mecha', 'Sci-Fi']"
86,Kidou Senshi Gundam Double Zeta,Mobile Suit Gundam ZZ,47,24,"['Drama', 'Mecha', 'Sci-Fi']"
87,Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,1,119,"['Drama', 'Mecha', 'Sci-Fi']"
88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,1,120,"['Drama', 'Mecha', 'Sci-Fi']"
89,Kidou Senshi Victory Gundam,Mobile Suit Victory Gundam,51,24,"['Drama', 'Mecha', 'Sci-Fi']"
90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,49,24,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi']"
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,3,30,"['Action', 'Drama', 'Mecha', 'Sci-Fi']"
92,Kidou Shin Seiki Gundam X,After War Gundam X,39,24,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']"
93,Kidou Senshi Gundam SEED,Mobile Suit Gundam Seed,50,24,"['Action', 'Drama', 'Mecha', 'Sci-Fi']"
94,Kidou Senshi Gundam SEED DESTINY,Mobile Suit Gundam Seed Destiny,50,24,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']"
95,∀ Gundam,Turn A Gundam,50,24,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi']"
96,Kidou Butouden G Gundam,Mobile Fighter G Gundam,49,24,"['Action', 'Adventure', 'Drama', 'Mecha', 'Romance']"
97,Last Exile,Last Exile,26,24,"['Action', 'Adventure', 'Sci-Fi']"
98,Mai-HiME,My-HiME,26,23,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance']"
99,Mai-Otome,My-Otome,26,24,"['Comedy', 'Drama', 'Fantasy']"
100,Shin Shirayuki-hime Densetsu Pretear,Prétear: The New Legend of Snow White,13,23,"['Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance']"
101,AIR,Air,13,24,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']"
102,Aishiteruze Baby★★,Love You Baby,26,25,"['Comedy', 'Drama', 'Romance']"
103,Akazukin Chacha,Red Riding Hood Chacha,74,24,"['Adventure', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Romance']"
104,Ayashi no Ceres,"Ceres, Celestial Legend",24,21,"['Adventure', 'Comedy', 'Drama', 'Horror', 'Romance']"
105,Boys Be...,,13,23,"['Comedy', 'Romance', 'Slice of Life']"
106,Hana Yori Dango,Boys Over Flowers,51,25,"['Comedy', 'Drama', 'Romance']"
107,Ou Dorobou JING,Jing: King of Bandits,13,24,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
108,Ou Dorobou JING in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,3,30,"['Adventure', 'Comedy', 'Fantasy', 'Psychological']"
109,Bakuretsu Tenshi,Burst Angel,24,23,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']"
110,Chuuka Ichiban!,Cooking Master Boy,52,23,"['Action', 'Adventure', 'Drama']"
111,Corrector Yui,Corrector Yui,26,25,"['Adventure', 'Comedy', 'Mahou Shoujo', 'Sci-Fi']"
112,Chou Henshin Cosprayers,The Cosmopolitan Prayers,8,14,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy']"
113,Uchuu no Stellvia,Stellvia of the Universe,26,23,"['Action', 'Mecha', 'Romance', 'Sci-Fi']"
114,Sakigake!! Cromartie Koukou,Cromartie High School,26,12,['Comedy']
115,Ijigen no Sekai El Hazard,El Hazard: The Alternative World,13,25,"['Adventure', 'Comedy', 'Fantasy']"
116,Shinpi no Sekai El Hazard (TV),El Hazard: The Wanderers,26,23,"['Adventure', 'Comedy']"
117,Shinpi no Sekai El Hazard,El Hazard: The Magnificent World,7,34,"['Adventure', 'Comedy', 'Fantasy', 'Romance']"
118,Shinpi no Sekai El Hazard 2,,4,30,"['Adventure', 'Comedy', 'Fantasy']"
119,Final Approach,,13,12,"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
120,Fruits Basket,Fruits Basket,26,24,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']"
121,Hagane no Renkinjutsushi,Fullmetal Alchemist,51,25,"['Action', 'Adventure', 'Drama', 'Fantasy']"
122,Full Moon wo Sagashite,Full Moon,52,24,"['Comedy', 'Drama', 'Mahou Shoujo', 'Music', 'Romance', 'Supernatural']"
123,Fushigi Yuugi,Fushigi Yugi: The Mysterious Play,52,23,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
124,Fushigi Yuugi: Eikoden,Mysterious Play: Eikoden,4,30,"['Adventure', 'Fantasy', 'Romance']"
125,Futakoi,Twin Love,13,24,"['Comedy', 'Romance']"
126,Futakoi Alternative,Twin Love Alternative,13,24,"['Comedy', 'Drama', 'Romance']"
127,Gate Keepers,,24,25,"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Sci-Fi']"
128,Gate Keepers 21,,6,30,"['Action', 'Drama', 'Sci-Fi']"
129,Gensou Maden Saiyuuki,Saiyuki,50,23,"['Adventure', 'Comedy', 'Drama', 'Supernatural']"
130,Saiyuuki RELOAD,Saiyuki Reload,25,20,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
131,Saiyuuki RELOAD GUNLOCK,Saiyuki Gunlock,26,24,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
132,GetBackers: Dakkanya,GetBackers,49,24,"['Action', 'Comedy', 'Drama', 'Mystery']"
133,Green Green,,12,24,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']"
134,GUNSLINGER GIRL,Gunslinger Girl,13,24,"['Action', 'Drama', 'Psychological', 'Sci-Fi']"
135,Hikaru no Go,Hikaru no Go,75,23,"['Comedy', 'Sports', 'Supernatural']"
136,HUNTER×HUNTER,Hunter x Hunter,62,23,"['Action', 'Adventure', 'Fantasy']"
137,HUNTER×HUNTER OVA,Hunter x Hunter: Yorknew City,8,24,"['Action', 'Adventure', 'Fantasy']"
138,HUNTER×HUNTER: Greed Island,,8,22,"['Action', 'Adventure', 'Fantasy']"
139,HUNTER×HUNTER: Greed Island Final,,14,24,"['Action', 'Adventure', 'Fantasy']"
141,Jinki:Extend,Jinki:Extend,12,23,"['Mecha', 'Sci-Fi']"
142,Kamikaze Kaitou Jeanne,,44,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Mystery', 'Romance']"
143,Kannazuki no Miko,Destiny of the Shrine Maiden,12,24,"['Drama', 'Mecha', 'Romance']"
144,Kanon,,13,24,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']"
145,Kareshi Kanojo no Jijou,His and Her Circumstances,26,24,"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
146,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,12,24,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']"
147,Kimi ga Nozomu Eien,Rumbling Hearts,14,23,"['Drama', 'Romance', 'Slice of Life']"
148,Kita e.: Diamond Dust Drops,Diamond Daydreams,12,24,"['Drama', 'Romance', 'Slice of Life']"
149,LOVELESS,Loveless,12,24,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance']"
150,BLOOD+,Blood+,50,24,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']"
151,Re: Cutie Honey,,3,45,"['Action', 'Comedy', 'Ecchi', 'Mahou Shoujo', 'Sci-Fi']"
152,Solty Rei,Solty Rei,24,23,"['Action', 'Sci-Fi']"
153,Juuni Kokuki,The Twelve Kingdoms,45,25,"['Action', 'Adventure', 'Fantasy', 'Supernatural']"
154,Shaman King,Shaman King,64,23,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']"
155,X,,1,93,"['Action', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi']"
156,X (TV),X (TV),24,24,"['Action', 'Drama', 'Fantasy', 'Romance']"
157,Mahou Sensei Negima!,Negima!,26,23,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']"
158,Maria-sama ga Miteru,Maria Watches Over Us,13,24,"['Drama', 'Romance', 'Slice of Life']"
159,Boukyaku no Senritsu,Melody of Oblivion,24,23,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mecha', 'Sci-Fi']"
160,"Ima, Soko ni Iru Boku","Now and Then, Here and There",13,25,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
161,PEACE MAKER Kurogane,Peacemaker,24,24,"['Action', 'Comedy']"
162,Pitaten,Pita-Ten,26,24,"['Comedy', 'Fantasy', 'Romance']"
163,Power Stone,,26,20,"['Adventure', 'Comedy', 'Fantasy']"
164,Mononoke-hime,Princess Mononoke,1,134,"['Action', 'Adventure', 'Drama', 'Fantasy']"
165,RahXephon,RahXephon,26,23,"['Drama', 'Mecha', 'Music', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi']"
166,Samurai 7,Samurai 7,26,26,"['Action', 'Mecha', 'Sci-Fi']"
167,Scrapped Princess,Scrapped Princess,24,23,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Sci-Fi']"
168,Scryed,s-CRY-ed,26,24,"['Action', 'Adventure', 'Sci-Fi']"
169,Shingetsutan Tsukihime,Lunar Legend Tsukihime,12,24,"['Action', 'Horror', 'Mystery', 'Romance', 'Supernatural']"
170,SLAM DUNK,Slam Dunk,101,23,"['Comedy', 'Drama', 'Slice of Life', 'Sports']"
171,Strange Dawn,,13,20,"['Adventure', 'Drama', 'Fantasy']"
173,tactics,,25,24,"['Comedy', 'Drama', 'Fantasy', 'Mystery']"
174,Tenjou Tenge,Tenjho Tenge,24,23,"['Action', 'Drama', 'Ecchi']"
175,Tokyo Underground,Tokyo Underground,26,25,"['Action', 'Adventure', 'Romance', 'Sci-Fi']"
176,Triangle Heart: Sweet Songs Forever,,4,30,"['Adventure', 'Romance']"
177,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE,26,25,"['Adventure', 'Fantasy', 'Romance']"
178,Ultra Maniac,Ultramaniac - Magical Girl,26,24,"['Comedy', 'Romance', 'Supernatural']"
179,Tokimeki Fushigi Diary★Ultra Maniac,,1,21,"['Comedy', 'Romance', 'Supernatural']"
180,Vandread,Vandread,13,22,"['Action', 'Ecchi', 'Mecha', 'Romance', 'Sci-Fi']"
181,Vandread: the second stage,Vandread: The Second Stage,13,22,"['Action', 'Ecchi', 'Mecha', 'Romance', 'Sci-Fi']"
182,Tenkuu no Escaflowne,Vision of Escaflowne,26,24,"['Adventure', 'Fantasy', 'Mecha', 'Romance']"
183,Whistle!,,39,24,['Sports']
184,Xenosaga: THE ANIMATION,Xenosaga: The Animation,12,23,"['Action', 'Mecha', 'Sci-Fi']"
185,Initial D,Initial D 1st Stage,26,25,"['Action', 'Drama', 'Sports']"
186,Initial D SECOND STAGE,Initial D 2nd Stage,13,23,"['Action', 'Drama', 'Sports']"
187,Initial D THIRD STAGE,Initial D 3rd Stage,1,114,"['Action', 'Drama', 'Romance', 'Sports']"
188,Gosenzo San'e,Masquerade,4,30,"['Comedy', 'Hentai', 'Mystery', 'Supernatural']"
189,Love Hina,Love Hina,24,23,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']"
190,Love Hina Again,Love Hina Again,3,30,"['Comedy', 'Drama', 'Romance']"
191,Love Hina Christmas Special: Silent Eve,Love Hina Christmas Movie,1,46,"['Comedy', 'Romance', 'Slice of Life']"
192,Love Hina: Haru Special - Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,1,46,"['Adventure', 'Comedy', 'Romance']"
193,Maburaho,,24,24,"['Comedy', 'Drama', 'Ecchi', 'Romance']"
194,Macross Zero,Macross Zero,5,30,"['Action', 'Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']"
195,Onegai☆Teacher,Please☆Teacher!,12,25,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']"
196,Onegai☆Twins,Please☆Twins!,12,25,"['Comedy', 'Drama', 'Romance']"
197,Rizelmine,,24,15,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']"
198,Speed Grapher,Speed Grapher,24,23,"['Action', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']"
199,Sen to Chihiro no Kamikakushi,Spirited Away,1,125,"['Adventure', 'Drama', 'Fantasy', 'Supernatural']"
200,Tenshi na Konamaiki,,50,24,"['Comedy', 'Romance', 'Supernatural']"
201,Denei Shoujo VIDEO GIRL AI,Video Girl Ai,6,29,"['Comedy', 'Drama', 'Ecchi', 'Romance']"
202,Wolf's Rain,Wolf's Rain,26,23,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
203,Words Worth,,5,30,"['Adventure', 'Fantasy', 'Hentai']"
204,Yumeria,,12,24,"['Action', 'Comedy', 'Ecchi']"
205,Samurai Champloo,Samurai Champloo,26,24,"['Action', 'Adventure', 'Comedy']"
206,Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,27,24,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
207,Lodoss-tou Senki,Record of Lodoss War,13,25,"['Action', 'Adventure', 'Fantasy', 'Supernatural']"
208,R.O.D -READ OR DIE-,R.O.D - READ OR DIE,3,33,"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
209,R.O.D -THE TV-,R.O.D -THE TV-,26,25,"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
210,Ranma 1/2,Ranma ½,18,24,"['Action', 'Comedy', 'Ecchi', 'Romance', 'Slice of Life']"
211,Pure Mail,,2,30,['Hentai']
212,Project A-Ko,Project A-ko,1,84,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']"
213,Pia Carrot e Youkoso!!,Welcome to Pia Carrot,3,29,"['Comedy', 'Hentai', 'Romance']"
214,Pia Carrot e Youkoso!! 2,Welcome To Pia Carrot 2,3,30,"['Comedy', 'Drama', 'Hentai', 'Romance']"
215,Pia Carrot e Youkoso!! 2 DX,,6,30,"['Comedy', 'Romance']"
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Welcome to Pia Carrot! Sayaka's Love Story,1,48,['Romance']
217,Shin Angel,New Angel,5,30,"['Comedy', 'Drama', 'Hentai', 'Romance']"
218,Kidou Senkan Nadesico,Martian Successor Nadesico,26,23,"['Action', 'Comedy', 'Mecha', 'Romance', 'Sci-Fi']"
219,Kidou Senkan Nadesico: The prince of darkness,Martian Successor Nadesico: The Prince of Darkness,1,79,"['Action', 'Comedy', 'Drama', 'Mecha', 'Sci-Fi']"
220,Kuro no Danshou,Mystery of the Necronomicon,4,30,"['Hentai', 'Horror', 'Mystery']"
221,Mezzo Forte,Mezzo Forte,2,31,"['Action', 'Comedy', 'Hentai', 'Sci-Fi']"
222,MEZZO,Mezzo,13,25,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']"
223,Dragon Ball,Dragon Ball,153,24,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Supernatural']"
225,Dragon Ball GT,Dragon Ball GT,64,24,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
226,Elfen Lied,Elfen Lied,13,25,"['Action', 'Drama', 'Ecchi', 'Horror', 'Psychological', 'Romance', 'Supernatural']"
227,FLCL,FLCL,6,25,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']"
228,Jigoku Shoujo,Hell Girl,26,25,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Supernatural']"
229,Ninin ga Shinobuden,Ninja Nonsense,12,24,['Comedy']
230,Air Master,Air Master,27,24,"['Action', 'Adventure', 'Comedy']"
231,Asagiri no Miko,Shrine of the Morning Mist,26,12,"['Action', 'Comedy', 'Drama', 'Fantasy']"
232,Cardcaptor Sakura,Cardcaptor Sakura,70,25,"['Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance']"
233,Daa! Daa! Daa!,,78,25,"['Comedy', 'Sci-Fi']"
234,Dan Doh!!,,26,24,"['Adventure', 'Sports']"
235,Meitantei Conan,Case Closed,,25,"['Adventure', 'Comedy', 'Mystery', 'Psychological']"
236,E'S OTHERWISE,E's Otherwise,26,23,"['Action', 'Drama', 'Sci-Fi']"
237,Koukyoushihen Eureka Seven,Eureka Seven,50,24,"['Action', 'Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']"
238,Rekka no Honoo,Flame of Recca,42,23,"['Action', 'Adventure']"
239,Gankutsuou,Gankutsuou: The Count of Monte Cristo,24,24,"['Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Thriller']"
240,Genshiken,Genshiken,12,25,"['Comedy', 'Slice of Life']"
241,GIRLS Bravo: first season,Girls Bravo,11,23,"['Comedy', 'Ecchi', 'Romance']"
242,Gokusen,The Gokusen,13,23,"['Comedy', 'Drama', 'Slice of Life']"
243,Gravitation,Gravitation TV,13,23,"['Comedy', 'Music', 'Romance']"
244,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple,39,25,['Mystery']
245,GTO,GTO: Great Teacher Onizuka,43,25,"['Comedy', 'Drama', 'Slice of Life']"
246,GROOVE ADVENTURE RAVE,Rave Master,51,24,"['Adventure', 'Comedy', 'Fantasy', 'Romance']"
247,Harukanaru Toki no Naka de: Hachiyou Shou,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,26,24,"['Drama', 'Fantasy']"
248,Ichigo 100%,Strawberry 100%,12,23,"['Comedy', 'Ecchi', 'Romance']"
249,Inuyasha,InuYasha,167,24,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
250,Konjiki no Gash Bell!!,Zatch Bell!,150,23,"['Adventure', 'Comedy', 'Supernatural']"
251,Kyou kara Maou!,Kyo Kara Maoh! - God (?) Save Our King!,78,25,"['Adventure', 'Comedy', 'Fantasy']"
252,Madlax,,26,24,"['Action', 'Drama', 'Mystery', 'Psychological', 'Supernatural']"
253,Jungle wa Itsumo Hare nochi Guu,Haré+Guu,26,23,['Comedy']
254,Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe,6,26,['Comedy']
255,Jungle wa Itsumo Hare nochi Guu FINAL,,7,26,['Comedy']
256,Hoshi no Koe,Voices of a Distant Star,1,25,"['Drama', 'Mecha', 'Romance', 'Sci-Fi']"
257,Ikkitousen,Battle Vixens: Ikki Tousen,13,24,"['Action', 'Ecchi']"
258,Hitsuji no Uta,Sheep's Song,4,30,"['Drama', 'Horror']"
259,HAPPY☆LESSON,,5,30,"['Comedy', 'Romance']"
260,HAPPY☆LESSON (TV),,13,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
261,HAPPY☆LESSON: ADVANCE,,13,24,"['Comedy', 'Romance', 'Slice of Life']"
262,HAPPY☆LESSON: THE FINAL,,3,30,"['Comedy', 'Romance']"
263,Hajime no Ippo: THE FIGHTING!,Hajime no Ippo: The Fighting!,75,23,"['Comedy', 'Drama', 'Sports']"
264,Hajime no Ippo: Champion Road,Hajime no Ippo: The Fighting! - Champion Road,1,90,"['Comedy', 'Sports']"
265,Hajime no Ippo: Mashiba vs Kimura - Shikei Shikkou,Hajime no Ippo: The Fighting! - Mashiba vs Kimura,1,61,"['Comedy', 'Sports']"
266,Gunparade March: Arata Naru Kougunka,Gunparade March,12,23,"['Drama', 'Mecha', 'Romance', 'Sci-Fi', 'Slice of Life']"
267,Gungrave,,26,25,"['Action', 'Drama', 'Sci-Fi']"
268,GOLDEN BOY: Sasurai no Obenkyou Yarou,GOLDEN BOY,6,29,"['Adventure', 'Comedy', 'Ecchi']"
269,BLEACH,Bleach,366,24,"['Action', 'Adventure', 'Supernatural']"
270,HELLSING,Hellsing,13,23,"['Action', 'Horror', 'Supernatural']"
271,Gad Guard,Gad Guard,26,25,"['Adventure', 'Mecha', 'Sci-Fi']"
272,Noir,,26,24,"['Action', 'Drama', 'Mystery']"
273,Mahoutsukai ni Taisetsu na Koto,Someday's Dreamers,12,24,"['Drama', 'Slice of Life', 'Supernatural']"
