id,title_romaji,title_english,episodes,duration,genres
21678,Ansatsu Kyoushitsu 2: Kagaijugyou-hen,,8,5,"['Action', 'Comedy', 'Supernatural']"
21679,Bungou Stray Dogs 2nd Season,Bungo Stray Dogs 2,12,24,"['Action', 'Comedy', 'Mystery', 'Supernatural']"
21680,Nameko: Sekai no Tomodachi,,26,3,"['Comedy', 'Slice of Life']"
21681,Ajin: Shougeki,,1,120,"['Action', 'Horror', 'Mystery', 'Supernatural']"
21682,Tiger Mask W,,38,24,"['Action', 'Drama', 'Sports']"
21683,Kimi no Koe wo Todoketai,I Want to Deliver Your Voice,1,94,"['Drama', 'Music', 'Slice of Life']"
21684,Mahouka Koukou no Rettousei: Hoshi wo Yobu Shoujo,The Irregular at Magic High School The Movie: The Girl Who Summons the Stars,1,90,"['Sci-Fi', 'Supernatural']"
21685,Eromanga Sensei,Eromanga Sensei,12,24,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Slice of Life']"
21686,Watashi ga Motete Dousunda,"Kiss Him, Not Me",12,23,"['Comedy', 'Romance']"
21687,Soul Eater: Late Night Show,Soul Eater: Late Night Show,51,1,"['Action', 'Comedy', 'Fantasy']"
21688,Mahoutsukai no Yome: Hoshi Matsu Hito,The Ancient Magus' Bride: Those Awaiting a Star,3,24,"['Drama', 'Fantasy']"
21691,Shokugeki no Souma OVA,Food Wars! Shokugeki no Soma OVA,2,25,"['Comedy', 'Ecchi']"
21693,Chijoku no Seifuku,,2,30,['Hentai']
21694,Bishoujo Yuugi Unit Crane Game Girls,Crane Game Girls,13,5,['Comedy']
21695,Durarara!!x2 Ketsu: DuFuFuFu!!,Durarara!! X2 The Third Arc: DuFuFuFu!!,1,24,"['Action', 'Mystery', 'Supernatural']"
21696,Urara Meirochou,Urara Meirocho,12,24,"['Comedy', 'Fantasy', 'Slice of Life']"
21697,Aikatsu Stars! Movie,Aikatsu Stars! The Movie,1,59,['Music']
21698,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,HAIKYU!! 3rd Season,10,25,"['Comedy', 'Drama', 'Sports']"
21699,Kono Subarashii Sekai ni Shukufuku wo! 2,KONOSUBA -God's blessing on this wonderful world! 2,10,23,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']"
21700,Rokudenashi Majutsu Koushi to Akashic Records,Akashic Records of Bastard Magic Instructor,12,25,"['Action', 'Comedy', 'Fantasy']"
21701,Kuzu no Honkai,Scum's Wish,12,23,"['Drama', 'Ecchi', 'Psychological', 'Romance']"
21702,Battery,BATTERY the animation,11,24,"['Drama', 'Slice of Life', 'Sports']"
21703,Fune wo Amu,The Great Passage,11,23,"['Drama', 'Romance', 'Slice of Life']"
21704,Bananya,Bananya,13,3,"['Comedy', 'Fantasy', 'Slice of Life']"
21705,RS Keikaku: Rebirth Storage,RS Project: Rebirth Storage,1,23,"['Action', 'Mecha', 'Mystery', 'Sci-Fi']"
21706,CoCO & NiCO,,39,1,['Fantasy']
21707,Regalia: The Three Sacred Stars,Regalia: The Three Sacred Stars,13,24,"['Mecha', 'Sci-Fi']"
21708,Occultic;Nine,Occultic;Nine,12,24,"['Mystery', 'Sci-Fi', 'Supernatural', 'Thriller']"
21709,Yuuri!!! on ICE,Yuri!!! on ICE,12,24,"['Comedy', 'Drama', 'Sports']"
21710,Natsume Yuujinchou Go,Natsume's Book of Friends 5,11,24,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']"
21711,91Days,91 Days,12,24,"['Action', 'Drama', 'Psychological']"
21712,Island,ISLAND,12,24,"['Drama', 'Mystery', 'Romance', 'Sci-Fi']"
21713,Cheer Danshi!!,Cheer Boys!!,12,24,"['Slice of Life', 'Sports']"
21714,Flip Flappers,FLIP FLAPPERS,13,24,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Psychological', 'Sci-Fi']"
21715,Shakunetsu no Takkyuu Musume,Scorching Ping Pong Girls,12,24,['Sports']
21716,LO Re: Pako Sukusuku Mizuki-chan THE ANIMATION,,1,18,"['Hentai', 'Romance']"
21717,Fate/EXTRA Last Encore,Fate/EXTRA Last Encore,13,24,"['Action', 'Fantasy', 'Psychological']"
21718,Fate/stay night [Heaven's Feel] II. lost butterfly,Fate/stay night [Heaven's Feel] II. lost butterfly,1,117,"['Action', 'Fantasy', 'Psychological', 'Romance', 'Supernatural', 'Thriller']"
21719,Fate/stay night [Heaven's Feel] III. spring song,Fate/stay night [Heaven’s Feel] III. spring song,1,122,"['Action', 'Drama', 'Fantasy', 'Psychological', 'Supernatural', 'Thriller']"
21721,Flying Witch Petit,,9,2,['Comedy']
21722,Zonmi-chan: Meat Pie of the Dead,,1,6,"['Comedy', 'Horror', 'Supernatural']"
21724,Panpaka Pants O-NEW!,Panpaka Pants O-New!,26,5,['Comedy']
21725,Panpaka Pants W-O NEW!,Panpaka Pants W-O New!,26,5,['Comedy']
21726,Aggressive Retsuko,,100,1,"['Comedy', 'Music', 'Slice of Life']"
21727,Aware! Meisaku-kun,Aware! Meisaku-kun,230,5,['Comedy']
21728,BROTHERHOOD FINAL FANTASY XV,Brotherhood Final Fantasy XV,5,15,"['Action', 'Adventure', 'Fantasy']"
21729,Kingsglaive Final Fantasy XV,Kingsglaive Final Fantasy XV,1,110,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
21730,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,Star Blazers: Space Battleship Yamato 2202,26,25,"['Action', 'Drama', 'Sci-Fi']"
21731,Hand Shakers,Hand Shakers,12,23,['Action']
21732,planetarian: Chiisana Hoshi no Yume,Planetarian,5,19,"['Drama', 'Fantasy', 'Sci-Fi']"
21733,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,12,24,['Drama']
21734,Buddy Go!,,7,2,"['Comedy', 'Romance']"
21736,Omoi no Kakera,,1,25,['Slice of Life']
21737,Sore ga Seiyuu!: Petit Uchiage,,1,14,"['Comedy', 'Slice of Life']"
21738,Hina Logi: from Luck & Logic,Hina Logic - from Luck & Logic,12,24,"['Action', 'Fantasy', 'Mahou Shoujo']"
21739,"Watashitachi, Luck Logic-bu! 2",We Are Luck and Logic Club 2,12,1,['Comedy']
21740,Bubuki Buranki: Hoshi no Kyojin,BBK/BRNK The Gentle Giants of the Galaxy,12,24,"['Action', 'Drama', 'Mecha', 'Sci-Fi']"
21741,Touken Ranbu: Hanamaru,Touken Ranbu - Hanamaru,12,24,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Slice of Life']"
21742,Katsugeki Touken Ranbu,Katsugeki TOUKEN RANBU,13,23,"['Action', 'Drama', 'Fantasy']"
21743,Ragnastrike Angels,,12,1,['Action']
21744,Reikenzan: Eichi e no Shikaku,,12,24,"['Comedy', 'Fantasy']"
21745,Owarimonogatari (Ge),Owarimonogatari Second Season,7,24,"['Comedy', 'Mystery', 'Psychological', 'Romance', 'Supernatural']"
21746,FLCL Progressive,FLCL Progressive,6,23,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']"
21747,Scared Rider XechS,Sca-red Rider XechS,12,24,"['Adventure', 'Romance', 'Sci-Fi']"
21748,FLCL Alternative,FLCL Alternative,6,25,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']"
21749,Kidou Senshi Gundam: Tekketsu no Orphans 2,Mobile Suit GUNDAM Iron Blooded Orphans 2,25,24,"['Action', 'Drama', 'Mecha', 'Sci-Fi']"
21750,Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,Majestic Prince: Genetic Awakening,1,77,"['Action', 'Mecha', 'Sci-Fi']"
21751,B-PROJECT: Kodou*Ambitious,B-PROJECT,12,24,"['Drama', 'Music']"
21752,Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,Majestic Prince: Wings to the Future,1,24,"['Action', 'Mecha', 'Sci-Fi']"
21753,Kiniro Mosaic: Pretty Days,KINMOZA! Pretty Days,1,50,"['Comedy', 'Slice of Life']"
